airport_code,forecast_date,projected_flight_volume,projected_delayed_flights,projected_delay_rate_pct,disruption_surge_alert
BOS,2025-01-12,10,0,0.0,NORMAL
DEN,2024-12-30,10,0,0.0,NORMAL
DEN,2024-12-31,10,0,0.0,NORMAL
DEN,2025-01-01,10,0,0.0,NORMAL
DEN,2025-01-02,10,0,0.0,NORMAL
DEN,2025-01-03,10,0,0.0,NORMAL
DEN,2025-01-04,10,0,0.0,NORMAL
DEN,2025-01-05,10,0,0.0,NORMAL
DEN,2025-01-06,10,0,0.0,NORMAL
DEN,2025-01-07,10,0,0.0,NORMAL
DEN,2025-01-08,10,0,0.0,NORMAL
DEN,2025-01-09,10,0,0.0,NORMAL
DEN,2025-01-10,10,0,0.0,NORMAL
DEN,2025-01-11,10,0,0.0,NORMAL
DEN,2025-01-12,10,0,0.0,NORMAL
